@@,geo,time,mean_years_in_school_men_25_to_34_years,changes(%)
->,cpv,1977,2.8->3.09,10.36
->,cri,1977,6.2->5.37,13.39
->,cub,1977,8.1->7.15,11.73
->,cze,1977,11.9->9.66,18.82
->,deu,1977,10.1->8.86,12.28
->,dji,1977,3.6->4,11.11
+++,dma,1977,6.14,
->,dnk,1977,11->9.87,10.27
->,dza,1977,2.7->3.2,18.52
->,eri,1977,1.8->2.67,48.33
->,esp,1977,5.9->7.4,25.42
->,eth,1977,1.3->2.62,101.54
->,fji,1977,8.3->7.23,12.89
+++,fsm,1977,7.7,
->,gbr,1977,11->9.62,12.55
->,gha,1977,5.7->4.62,18.95
->,gin,1977,1.8->2,11.11
->,gmb,1977,2.3->2.78,20.87
->,gnb,1977,1.6->1.92,20.00
+++,grd,1977,5.34,
->,guy,1977,7.1->5.42,23.66
->,hrv,1977,8->7.16,10.50
->,hti,1977,2.5->3.52,40.80
->,ind,1977,4.3->3.83,10.93
->,irq,1977,6.3->4.08,35.24
+++,isl,1977,8.91,
->,jam,1977,7.8->6.46,17.18
->,kir,1977,6.6->5.73,13.18
->,kwt,1977,4.9->5.6,14.29
->,lao,1977,2.9->3.21,10.69
->,lbr,1977,3.1->2.73,11.94
+++,lby,1977,4.16,
->,lca,1977,6.7->6,10.45
->,mda,1977,9.3->7.9,15.05
->,mdv,1977,4.5->3.93,12.67
->,mhl,1977,7.2->5.5,23.61
+++,mlt,1977,7.41,
->,mne,1977,9->7.72,14.22
->,mng,1977,7.6->6.29,17.24
->,mrt,1977,1.8->2.86,58.89
->,ner,1977,0.6->1.09,81.67
->,npl,1977,2.4->3.19,32.92
->,omn,1977,4->4.83,20.75
->,png,1977,3.3->3.94,19.39
+++,prk,1977,7.31,
->,pry,1977,5.5->4.86,11.64
->,pse,1977,7.3->6.55,10.27
->,qat,1977,5->4.37,12.60
->,sau,1977,6.3->7.14,13.33
->,sdn,1977,3.6->4.36,21.11
->,sgp,1977,6.8->7.56,11.18
->,sle,1977,1.9->1.68,11.58
+++,ssd,1977,1.27,
->,sur,1977,5.7->5.1,10.53
->,tcd,1977,1.5->1.94,29.33
->,tha,1977,5.9->5.28,10.51
->,tls,1977,1.9->3.66,92.63
->,ton,1977,8.6->7.57,11.98
->,tun,1977,5.5->4.62,16.00
->,tur,1977,5->5.51,10.20
->,ukr,1977,10.2->8.55,16.18
+++,vct,1977,5.34,
->,vnm,1977,6.7->5.23,21.94
->,yem,1977,1.8->2.74,52.22
->,zaf,1977,5.5->6.4,16.36
->,zmb,1977,5.6->4.67,16.61
->,afg,1978,1.5->1.67,11.33
+++,and,1978,9.45,
->,are,1978,6.4->5.57,12.97
->,arm,1978,9->8.02,10.89
->,atg,1978,9.5->8.15,14.21
->,bfa,1978,0.9->1.18,31.11
->,bgd,1978,3.3->2.93,11.21
->,bhr,1978,5.8->5.02,13.45
->,blr,1978,9.9->8.7,12.12
->,blz,1978,6.7->5.17,22.84
+++,brb,1978,5.45,
+++,brn,1978,9.77,
+++,btn,1978,2.99,
->,caf,1978,3.1->3.42,10.32
->,che,1978,11.3->9.85,12.83
->,chn,1978,5.7->6.28,10.18
->,cod,1978,5.6->4.54,18.93
->,cog,1978,6.4->5.64,11.88
->,com,1978,2.5->3.4,36.00
->,cri,1978,6.3->5.48,13.02
->,cub,1978,8.3->7.29,12.17
->,cze,1978,12->9.8,18.33
->,deu,1978,10.2->9,11.76
->,dji,1978,3.7->4.09,10.54
+++,dma,1978,6.26,
->,dza,1978,2.8->3.3,17.86
->,eri,1978,1.9->2.73,43.68
->,esp,1978,6.1->7.53,23.44
