alternative_gdp_per_capita_ppp_wb,geo,time
5575,ecu,2001
5761,ecu,2002
5849,ecu,2003
6258,ecu,2004
6510,ecu,2005
6713,ecu,2006
6746,ecu,2007
7128,ecu,2008
7051,ecu,2009
7201,ecu,2010
7443,ecu,2011
2404,egy,1980
2436,egy,1981
2614,egy,1982
2741,egy,1983
2839,egy,1984
2954,egy,1985
2960,egy,1986
2962,egy,1987
3047,egy,1988
3127,egy,1989
3237,egy,1990
3210,egy,1991
3292,egy,1992
3330,egy,1993
3405,egy,1994
3504,egy,1995
3617,egy,1996
3752,egy,1997
3837,egy,1998
4001,egy,1999
4141,egy,2000
4211,egy,2001
4231,egy,2002
4286,egy,2003
4379,egy,2004
4491,egy,2005
4711,egy,2006
4955,egy,2007
5216,egy,2008
5365,egy,2009
5544,egy,2010
5547,egy,2011
4372,slv,1980
3854,slv,1981
3559,slv,1982
3564,slv,1983
3564,slv,1984
3539,slv,1985
3501,slv,1986
