new_births_total_number_estimated,geo,time
41610,arm,2003
42100,arm,2004
42410,arm,2005
42480,arm,2006
42360,arm,2007
42110,arm,2008
41730,arm,2009
41250,arm,2010
40750,arm,2011
40270,arm,2012
39850,arm,2013
39490,arm,2014
39140,arm,2015
762,abw,1800
762,abw,1801
762,abw,1802
762,abw,1803
762,abw,1804
762,abw,1805
762,abw,1806
762,abw,1807
762,abw,1808
762,abw,1809
762,abw,1810
762,abw,1811
762,abw,1812
763,abw,1813
764,abw,1814
765,abw,1815
766,abw,1816
767,abw,1817
769,abw,1818
771,abw,1819
773,abw,1820
775,abw,1821
777,abw,1822
780,abw,1823
782,abw,1824
785,abw,1825
788,abw,1826
792,abw,1827
795,abw,1828
799,abw,1829
803,abw,1830
807,abw,1831
812,abw,1832
816,abw,1833
