geo,electricity_use_per_person,time
egy,443.9,1982
egy,489.4,1983
egy,508.7,1984
egy,486.4,1985
egy,579.4,1986
egy,611.2,1987
egy,627.9,1988
egy,652.4,1989
egy,675.4,1990
egy,694.8,1991
egy,701.8,1992
egy,721.3,1993
egy,737.4,1994
egy,759.5,1995
egy,822.6,1996
egy,866.2,1997
egy,914.5,1998
egy,976.8,1999
egy,1017,2000
egy,1074,2001
egy,1129,2002
egy,1203,2003
egy,1251,2004
egy,1328,2005
egy,1404,2006
egy,1493,2007
egy,1539,2008
egy,1608,2009
egy,1671,2010
egy,1743,2011
slv,166.6,1971
slv,178.3,1972
slv,199.8,1973
slv,211.8,1974
slv,206,1975
slv,235.4,1976
slv,254.8,1977
slv,277.1,1978
slv,285.2,1979
slv,269.5,1980
slv,255.8,1981
slv,251.8,1982
slv,272.2,1983
slv,282.3,1984
slv,292.4,1985
slv,297.1,1986
slv,315,1987
slv,324.4,1988
slv,325.3,1989
slv,347.5,1990
slv,365.1,1991
slv,378.3,1992
slv,429.3,1993
slv,463.9,1994
slv,495,1995
slv,505.8,1996
slv,545.5,1997
slv,561.2,1998
slv,580.4,1999
slv,607.7,2000
slv,620.9,2001
slv,662.2,2002
slv,689.8,2003
slv,687.6,2004
slv,753.4,2005
slv,815,2006
slv,879.8,2007
