geo,renewable_water_cu_meters_per_person,time
zaf,1299,1992
zaf,1156,1997
zaf,1073,2002
zaf,1036,2007
esp,3590,1962
esp,3407,1967
esp,3230,1972
esp,3056,1977
esp,2935,1982
esp,2888,1987
esp,2855,1992
esp,2819,1997
esp,2694,2002
esp,2541,2007
lka,4903,1962
lka,4344,1967
lka,3882,1972
lka,3522,1977
lka,3251,1982
lka,3039,1987
lka,2852,1992
lka,2721,1997
lka,2647,2002
lka,2603,2007
sdn,5387,1962
sdn,4798,1967
sdn,4207,1972
sdn,3615,1977
sdn,3070,1982
sdn,2663,1987
sdn,2365,1992
sdn,2078,1997
sdn,1856,2002
sdn,1711,2007
sur,398100,1962
sur,347300,1967
sur,326700,1972
sur,340400,1977
sur,334600,1982
sur,310800,1987
sur,299300,1992
sur,287900,1997
sur,275100,2002
sur,268000,2007
swz,12170,1962
swz,10790,1967
swz,9375,1972
swz,8034,1977
swz,6922,1982
swz,5817,1987
swz,4973,1992
swz,4515,1997
swz,4140,2002
swz,3978,2007
swe,22970,1962
swe,22130,1967
swe,21430,1972
swe,21100,1977
swe,20910,1982
swe,20680,1987
swe,20050,1992
swe,19650,1997
swe,19510,2002
swe,19170,2007
che,9622,1962
che,8897,1967
che,8530,1972
che,8453,1977
che,8387,1982
che,8045,1987
che,7681,1992
che,7433,1997
che,7305,2002
che,7177,2007
syr,3419,1962
syr,2914,1967
syr,2466,1972
syr,2082,1977
syr,1736,1982
syr,1451,1987
syr,1246,1992
syr,1095,1997
syr,964.7,2002
syr,865.5,2007
tjk,2896,1992
tjk,2692,1997
tjk,2529,2002
tjk,2407,2007
tha,13930,1962
tha,11970,1967
tha,10450,1972
tha,9298,1977
tha,8454,1982
tha,7845,1987
tha,7374,1992
tha,6968,1997
tha,6647,2002
tha,6462,2007
mkd,3309,1992
mkd,3227,1997
mkd,3166,2002
mkd,3143,2007
tgo,9114,1962
tgo,7855,1967
tgo,6462,1972
tgo,5733,1977
tgo,4915,1982
tgo,4080,1987
tgo,3528,1992
tgo,3033,1997
tgo,2559,2002
tgo,2293,2007
tto,4419,1962
tto,4148,1967
tto,3883,1972
tto,3710,1977
tto,3423,1982
tto,3197,1987
tto,3091,1992
tto,2991,1997
tto,2931,2002
tto,2891,2007
tun,1050,1962
tun,953,1967
tun,862.6,1972
tun,771.1,1977
tun,675.7,1982
tun,597.4,1987
tun,537.9,1992
tun,498.1,1997
tun,469.8,2002
tun,449.8,2007
