geo,hydro_power_generation_per_person,time
cri,0.1172,2001
cri,0.1257,2002
cri,0.1245,2003
cri,0.1353,2004
cri,0.131,2005
cri,0.1295,2006
cri,0.1307,2007
cri,0.1405,2008
cri,0.1353,2009
cri,0.134,2010
civ,0.00211,1971
civ,0.00329,1972
civ,0.00234,1973
civ,0.00368,1974
civ,0.00487,1975
civ,0.00417,1976
civ,0.00257,1977
civ,0.00185,1978
civ,0.00772,1979
civ,0.01368,1980
civ,0.01674,1981
civ,0.01601,1982
civ,0.00867,1983
civ,0.00318,1984
civ,0.01113,1985
civ,0.00943,1986
civ,0.00801,1987
civ,0.00912,1988
civ,0.01133,1989
civ,0.00908,1990
civ,0.00833,1991
civ,0.00673,1992
civ,0.00684,1993
civ,0.00708,1994
civ,0.01045,1995
civ,0.01015,1996
civ,0.01043,1997
civ,0.00746,1998
civ,0.00928,1999
civ,0.00915,2000
civ,0.00916,2001
civ,0.00865,2002
civ,0.00902,2003
civ,0.00848,2004
civ,0.00686,2005
civ,0.00709,2006
civ,0.00829,2007
civ,0.0086,2008
civ,0.00947,2009
civ,0.00705,2010
hrv,0.07243,1990
hrv,0.1091,1991
hrv,0.08135,1992
hrv,0.08071,1993
hrv,0.09099,1994
hrv,0.09696,1995
hrv,0.1335,1996
hrv,0.09828,1997
hrv,0.1024,1998
hrv,0.1248,1999
hrv,0.1121,2000
hrv,0.1256,2001
hrv,0.1033,2002
hrv,0.09408,2003
hrv,0.1345,2004
hrv,0.1226,2005
hrv,0.1164,2006
hrv,0.08229,2007
hrv,0.1015,2008
hrv,0.1312,2009
hrv,0.1626,2010
cub,0.00107,1971
cub,0.00071,1972
cub,0.00058,1973
cub,0.00082,1974
cub,0.00057,1975
cub,0.00048,1976
cub,0.00065,1977
cub,0.00074,1978
cub,0.00092,1979
cub,0.00085,1980
cub,0.00052,1981
cub,0.00037,1982
cub,0.00054,1983
cub,0.0006,1984
cub,0.00046,1985
cub,0.0005,1986
cub,0.00037,1987
cub,0.00061,1988
cub,0.00067,1989
cub,0.00074,1990
cub,0.00085,1991
cub,0.00065,1992
cub,0.00065,1993
cub,0.00039,1994
cub,0.00058,1995
cub,0.00075,1996
cub,0.00102,1997
cub,0.00076,1998
cub,0.0008,1999
cub,0.00069,2000
cub,0.00058,2001
cub,0.00082,2002
cub,0.00098,2003
cub,0.00067,2004
