geo,malaria_cases_per_100000_reported,time
idn,54.71,1992
idn,71.15,1993
idn,75.01,1994
idn,62.42,1995
idn,89.82,1996
idn,79.4,1997
idn,77.82,1998
idn,47.8,2000
idn,652.7,2001
idn,687.1,2002
idn,672.4,2003
idn,669.6,2004
idn,793.1,2005
idn,580,2006
mmr,2464,1990
mmr,2304,1991
mmr,1908,1992
mmr,1673,1993
mmr,1647,1994
mmr,1522,1995
mmr,1520,1996
mmr,1283,1997
mmr,1222,1998
mmr,266.7,1999
mmr,1239,2001
mmr,1543,2002
mmr,1520,2003
mmr,1267,2004
mmr,1055,2005
mmr,982.4,2006
npl,119.6,1990
npl,148.7,1991
npl,115.6,1992
npl,79.49,1993
npl,44.67,1994
npl,44.84,1995
npl,29.83,1996
npl,39.34,1997
npl,36.44,1998
npl,40.63,1999
npl,31.19,2000
npl,586.4,2001
npl,523.4,2002
npl,755.6,2003
npl,529.8,2004
npl,657.2,2005
npl,559.9,2006
lka,1679,1990
lka,2310,1991
lka,2278,1992
lka,1845,1993
lka,1527,1994
lka,787,1995
lka,1011,1996
lka,1189,1997
